TargetWord|Meaning|IPA|Part_of_Speech|Gender|Morphology|Nuance|ContextSentences|ContextTranslation|Etymology|Mnemonic|Analogues|Image|Tags
die meisten|Більшість. Найбільша частина групи або кількості; перевісна ступінь порівняння від *viel*.|/diː ˈmaɪ̯stn̩/|Pronoun/Adj|none|Sup: am meisten|Вживається з означеним артиклем перед іменником у множині.|1. <b>Die meisten</b> Leute trinken Kaffee.<br>2. Ich habe <b>die meisten</b> Fehler korrigiert.<br>3. In den <b>meisten</b> Fällen hilft das.|1. Більшість людей п'ють каву.<br>2. Я виправив більшість помилок.<br>3. У більшості випадків це допомагає.|Від давньоверхньонімецького *meist*, що є суплетивною (нерегулярною) формою ступеню порівняння для *filu* (багато). Споріднене з англійським *most*.|Майстер (*Meister*) має *найбільше* (*am meisten*) навичок.|EN: The most<br>DE: Die Mehrheit<br>RU: Большинство<br>UA: Більшість|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20pie%20chart%20mostly%20filled%20majority?width=320&height=200&nologo=true">|DE A1 Grammar Quantity
ziemlich|Досить, цілком, неабияк. Вказує на значну, але не абсолютну міру якості.|/ˈt͡siːmlɪç/|Adverb|none|-|Часто використовується для пом'якшення або, навпаки, іронічного посилення висловлювання.|1. Das ist <b>ziemlich</b> teuer.<br>2. Es ist schon <b>ziemlich</b> spät.<br>3. Mir geht es <b>ziemlich</b> gut.|1. Це досить дорого.<br>2. Вже досить пізно.<br>3. У мене все цілком добре.|Спочатку означало «відповідний», «належний» (від *ziemen* — личити, пасувати). З часом значення змістилося до «значною мірою».|Цим личить (*ziemlich*) поводитися *досить* чемно.|EN: Quite<br>DE: Relativ<br>RU: Довольно<br>UA: Досить|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20scale%20almost%20full%20quite?width=320&height=200&nologo=true">|DE A1 Adverb
einschalten|Вмикати. Приводити в дію електричний прилад або механізм; також «вмикатися» в розмову.|/ˈaɪ̯nˌʃaltn̩/|Verb|none|Pres: schaltet ein, Past: schaltete ein, Perf: hat eingeschaltet|Антонім — *ausschalten*. Використовується для техніки, світла, але не для «відкривання» води (там *aufdrehen*).|1. Kannst du bitte das Licht <b>einschalten</b>?<br>2. Er hat den Computer <b>eingeschaltet</b>.<br>3. Wir müssen die Polizei <b>einschalten</b>.|1. Можеш, будь ласка, увімкнути світло?<br>2. Він увімкнув комп'ютер.<br>3. Ми мусимо залучити поліцію.|Складене дієслово: *ein-* (в-) + *schalten* (керувати, перемикати). *Schalten* походить від давнього слова, що означало «штовхати жердиною корабель».|Уяви, що ти накидаєш «шаль» (*schal-*) на лампу, щоб її *увімкнути* (парадоксальна мнемоніка).|EN: Switch on<br>DE: Anmachen<br>RU: Включать<br>UA: Вмикати|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20finger%20pressing%20power%20button%20green?width=320&height=200&nologo=true">|DE A1 Tech Household
das Aufnahmegerät|Записуючий пристрій, диктофон. Технічний засіб для фіксації звуку або зображення.|/ˈaʊ̯fnaːməɡəˌʁɛːt/|Noun|das|Pl: -e|Слово звучить офіційно; у розмовній мові часто просто *Rekorder* або *Handy* (якщо запис на телефон).|1. Das <b>Aufnahmegerät</b> läuft.<br>2. Er sprach leise in das <b>Aufnahmegerät</b>.<br>3. Ist das <b>Aufnahmegerät</b> kaputt?|1. Записуючий пристрій працює.<br>2. Він тихо говорив у диктофон.<br>3. Диктофон зламаний?|Композит: *die Aufnahme* (прийняття, запис) + *das Gerät* (прилад). *Aufnahme* — від дієслова *aufnehmen* (підіймати, записувати).|Треба *взяти на* (*aufna-*) себе відповідальність і натиснути кнопку на *апараті* (*-gerät*).|EN: Recorder<br>DE: Diktiergerät<br>RU: Диктофон<br>UA: Диктофон|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20old%20tape%20recorder?width=320&height=200&nologo=true">|DE B1 Tech Media
der Krankenpfleger|Медбрат. Кваліфікований працівник, який доглядає за хворими.|/ˈkʁaŋkŋ̍ˌp͡fleːɡɐ/|Noun|der|Fem: die Krankenschwester / Krankenpflegerin|Зараз гендерно-нейтральний термін — *Pflegefachkraft*, але *Krankenpfleger* все ще широко вживається для чоловіків.|1. Der <b>Krankenpfleger</b> misst den Blutdruck.<br>2. Er arbeitet als <b>Krankenpfleger</b> im Krankenhaus.<br>3. Der <b>Krankenpfleger</b> war sehr geduldig.|1. Медбрат вимірює тиск.<br>2. Він працює медбратом у лікарні.<br>3. Медбрат був дуже терплячим.|*Krank* (хворий) + *Pfleger* (доглядач, від *pflegen* — піклуватися). Корінь *pflegen* має германське походження, пов'язане з «грою» або «рухом», що трансформувалося в «піклування».|Цей *Пфлегер* (*Pfleger*) піклується про *Кранк* (*Krank* - хворих).|EN: Male nurse<br>DE: Pfleger<br>RU: Медбрат<br>UA: Доглядальник|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20male%20nurse%20uniform%20hospital?width=320&height=200&nologo=true">|DE A2 Medical Professions
der Dienst|Служба, чергування, послуга. Виконання обов'язків, часто у контексті роботи за графіком або військової служби.|/diːnst/|Noun|der|Pl: -e|Може означати як абстрактну службу, так і конкретну зміну (робочі години).|1. Ich habe heute <b>Dienst</b>.<br>2. Er ist im <b>Dienst</b> eingeschlafen.<br>3. Kannst du mir einen <b>Dienst</b> erweisen?|1. У мене сьогодні чергування.<br>2. Він заснув на чергуванні.<br>3. Можеш зробити мені послугу?|Від германського *theu-staz*, пов'язаного з *dienen* (служити). Споріднене з давнім поняттям васальної залежності.|Справжній *Дін* (*Dien-*) Вінчестер завжди на *службі* боротьби зі злом.|EN: Service / Shift<br>DE: Schicht<br>RU: Служба<br>UA: Служба|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20police%20badge%20or%20clock%20shift?width=320&height=200&nologo=true">|DE A2 Work Military
sonst|Інакше, в іншому випадку, крім того. Вказує на альтернативу або наслідки невиконання умови.|/zɔnst/|Adverb|none|-|Часто вживається в конструкціях погрози або попередження («зроби це, інакше...»).|1. Beeil dich, <b>sonst</b> verpassen wir den Zug.<br>2. Hast du <b>sonst</b> noch Fragen?<br>3. <b>Sonst</b> ist alles in Ordnung.|1. Поспішай, інакше ми запізнимося на потяг.<br>2. У тебе є ще (крім цього) питання?<br>3. В іншому все гаразд.|Походить від середньоверхньонімецького *sus* (так, таким чином).|Сонце (*Sonn-*) світить, *інакше* (*sonst*) було б темно.|EN: Otherwise / Else<br>DE: Andernfalls<br>RU: Иначе<br>UA: Інакше|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20fork%20in%20road%20path?width=320&height=200&nologo=true">|DE A2 Logic Adverb
die Pflegeberichte|Звіти про догляд. Документація, яку ведуть медичні працівники про стан пацієнтів.|/ˈp͡fleːɡəbəˌʁɪçtə/|Noun|die|Sg: der Pflegebericht|Специфічний термін для медичної сфери та соціальної роботи.|1. Er muss noch die <b>Pflegeberichte</b> schreiben.<br>2. Die <b>Pflegeberichte</b> sind vertraulich.<br>3. In den <b>Pflegeberichten</b> steht alles genau drin.|1. Він ще мусить написати звіти про догляд.<br>2. Звіти про догляд є конфіденційними.<br>3. У звітах про догляд все точно записано.|Композит: *Pflege* (догляд) + *Berichte* (звіти). *Bericht* походить від *berichten* (повідомляти, «виправляти» інформацію).|У *звітах* (*Berichte*) описують, як *доглядали* (*Pflege*).|EN: Care reports<br>DE: Protokolle<br>RU: Отчеты по уходу<br>UA: Медичні записи|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20medical%20clipboard%20report?width=320&height=200&nologo=true">|DE B2 Medical Work
bloß|Лише, тільки; (у питаннях) же. Використовується для підсилення емоцій (подиву, страху) або обмеження.|/bloːs/|Particle/Adj|none|Adj: оголений (рідше)|Як прикметник означає «голий» (напр., *mit bloßen Händen* - голими руками), але як частка — дуже часте слово-паразит.|1. Was hast du <b>bloß</b> gemacht?<br>2. Ich wollte <b>bloß</b> helfen.<br>3. Geh mir <b>bloß</b> weg!|1. Що ж ти наробив?<br>2. Я хотів лише допомогти.<br>3. Ану йди геть від мене! (посилення)|Спочатку означало «оголений», «позбавлений чогось». Розвинулося у значення «тільки це і нічого більше».|Ти *голий* (bloß), у тебе залишилося *лише* це слово.|EN: Only / Just<br>DE: Nur<br>RU: Только / Же<br>UA: Тільки / Же|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20one%20single%20leaf%20on%20branch?width=320&height=200&nologo=true">|DE B1 Particle Emotion
erst|Тільки, спершу, лише (про час). Вказує на те, що щось відбулося пізніше, ніж очікувалося, або є початковим етапом.|/eːɐ̯st/|Adv/Particle|none|-|Не плутати з *nur*. *Erst* часто вказує на часовий аспект («тільки о 5-й годині», мається на увазі «не раніше»), *nur* — на кількість.|1. Er ist <b>erst</b> drei Jahre alt.<br>2. Wir haben <b>erst</b> Montag.<br>3. Mach das <b>erst</b> fertig, dann gehen wir.|1. Йому лише три роки (ще малий).<br>2. У нас лише понеділок (тиждень тільки почався).<br>3. Спершу закінчи це, потім підемо.|Найвищий ступінь від давнього германського *er* (раніше). Буквально «найраніше».|Це *first* (перший), тільки без 'f' -> *erst* (спершу).|EN: Only (time) / First<br>DE: Zuerst<br>RU: Только / Сперва<br>UA: Лише / Спочатку|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20clock%20showing%20early%20time?width=320&height=200&nologo=true">|DE A1 Time Adverb
